benchmark_id,dataset_split,case_or_session_id,case_index,case_id,material,condition_type,axis_mode,anchor_id,is_usable,manual_label,is_manual_best,manual_reason,label_source,label_confidence,original_image_path,benchmark_image_path,layout_type,geometry_only_selected_anchor_id,proposed_selected_anchor_id,label_timestamp,has_scene_rgb,has_selected_mask_overlay,has_object_mask,has_anchor_geometry_overlay,has_metadata_json
E3_case_003_A1,E3,case_003_brick_03_chipped_jagged,3,brick_03_chipped_jagged,brick,chipped_jagged,major,A1,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_003_brick_03_chipped_jagged/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_003_brick_03_chipped_jagged/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:32:18-04:00,True,True,True,True,True
E3_case_003_A2,E3,case_003_brick_03_chipped_jagged,3,brick_03_chipped_jagged,brick,chipped_jagged,major,A2,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_003_brick_03_chipped_jagged/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_003_brick_03_chipped_jagged/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:32:18-04:00,True,True,True,True,True
E3_case_003_A3,E3,case_003_brick_03_chipped_jagged,3,brick_03_chipped_jagged,brick,chipped_jagged,major,A3,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_003_brick_03_chipped_jagged/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_003_brick_03_chipped_jagged/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:32:18-04:00,True,True,True,True,True
E3_case_003_A4,E3,case_003_brick_03_chipped_jagged,3,brick_03_chipped_jagged,brick,chipped_jagged,major,A4,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_003_brick_03_chipped_jagged/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_003_brick_03_chipped_jagged/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:32:18-04:00,True,True,True,True,True
E3_case_003_A5,E3,case_003_brick_03_chipped_jagged,3,brick_03_chipped_jagged,brick,chipped_jagged,major,A5,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_003_brick_03_chipped_jagged/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_003_brick_03_chipped_jagged/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:32:18-04:00,True,True,True,True,True
E3_case_004_A1,E3,case_004_brick_04_debris_obstruction,4,brick_04_debris_obstruction,brick,debris_obstruction,major,A1,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_004_brick_04_debris_obstruction/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_004_brick_04_debris_obstruction/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:32:44-04:00,True,True,True,True,True
E3_case_004_A2,E3,case_004_brick_04_debris_obstruction,4,brick_04_debris_obstruction,brick,debris_obstruction,major,A2,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_004_brick_04_debris_obstruction/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_004_brick_04_debris_obstruction/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:32:44-04:00,True,True,True,True,True
E3_case_004_A3,E3,case_004_brick_04_debris_obstruction,4,brick_04_debris_obstruction,brick,debris_obstruction,major,A3,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_004_brick_04_debris_obstruction/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_004_brick_04_debris_obstruction/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:32:44-04:00,True,True,True,True,True
E3_case_004_A4,E3,case_004_brick_04_debris_obstruction,4,brick_04_debris_obstruction,brick,debris_obstruction,major,A4,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_004_brick_04_debris_obstruction/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_004_brick_04_debris_obstruction/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:32:44-04:00,True,True,True,True,True
E3_case_004_A5,E3,case_004_brick_04_debris_obstruction,4,brick_04_debris_obstruction,brick,debris_obstruction,major,A5,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_004_brick_04_debris_obstruction/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_004_brick_04_debris_obstruction/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:32:44-04:00,True,True,True,True,True
E3_case_005_A1,E3,case_005_brick_05_debris_obstruction,5,brick_05_debris_obstruction,brick,debris_obstruction,major,A1,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_005_brick_05_debris_obstruction/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_005_brick_05_debris_obstruction/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:33:23-04:00,True,True,True,True,True
E3_case_005_A2,E3,case_005_brick_05_debris_obstruction,5,brick_05_debris_obstruction,brick,debris_obstruction,major,A2,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_005_brick_05_debris_obstruction/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_005_brick_05_debris_obstruction/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:33:23-04:00,True,True,True,True,True
E3_case_005_A3,E3,case_005_brick_05_debris_obstruction,5,brick_05_debris_obstruction,brick,debris_obstruction,major,A3,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_005_brick_05_debris_obstruction/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_005_brick_05_debris_obstruction/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:33:23-04:00,True,True,True,True,True
E3_case_005_A4,E3,case_005_brick_05_debris_obstruction,5,brick_05_debris_obstruction,brick,debris_obstruction,major,A4,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_005_brick_05_debris_obstruction/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_005_brick_05_debris_obstruction/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:33:23-04:00,True,True,True,True,True
E3_case_005_A5,E3,case_005_brick_05_debris_obstruction,5,brick_05_debris_obstruction,brick,debris_obstruction,major,A5,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_005_brick_05_debris_obstruction/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_005_brick_05_debris_obstruction/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:33:23-04:00,True,True,True,True,True
E3_case_006_A1,E3,case_006_timber_01_clean_regular,6,timber_01_clean_regular,timber,clean_regular,major,A1,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_006_timber_01_clean_regular/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_006_timber_01_clean_regular/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:33:43-04:00,True,True,True,True,True
E3_case_006_A2,E3,case_006_timber_01_clean_regular,6,timber_01_clean_regular,timber,clean_regular,major,A2,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_006_timber_01_clean_regular/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_006_timber_01_clean_regular/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:33:43-04:00,True,True,True,True,True
E3_case_006_A3,E3,case_006_timber_01_clean_regular,6,timber_01_clean_regular,timber,clean_regular,major,A3,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_006_timber_01_clean_regular/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_006_timber_01_clean_regular/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:33:43-04:00,True,True,True,True,True
E3_case_006_A4,E3,case_006_timber_01_clean_regular,6,timber_01_clean_regular,timber,clean_regular,major,A4,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_006_timber_01_clean_regular/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_006_timber_01_clean_regular/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:33:43-04:00,True,True,True,True,True
E3_case_006_A5,E3,case_006_timber_01_clean_regular,6,timber_01_clean_regular,timber,clean_regular,major,A5,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_006_timber_01_clean_regular/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_006_timber_01_clean_regular/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:33:43-04:00,True,True,True,True,True
E3_case_007_A1,E3,case_007_timber_02_chipped_jagged,7,timber_02_chipped_jagged,timber,chipped_jagged,major,A1,True,Acceptable,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_007_timber_02_chipped_jagged/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_007_timber_02_chipped_jagged/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:34:22-04:00,True,True,True,True,True
E3_case_007_A2,E3,case_007_timber_02_chipped_jagged,7,timber_02_chipped_jagged,timber,chipped_jagged,major,A2,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_007_timber_02_chipped_jagged/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_007_timber_02_chipped_jagged/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:34:22-04:00,True,True,True,True,True
E3_case_007_A3,E3,case_007_timber_02_chipped_jagged,7,timber_02_chipped_jagged,timber,chipped_jagged,major,A3,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_007_timber_02_chipped_jagged/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_007_timber_02_chipped_jagged/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:34:22-04:00,True,True,True,True,True
E3_case_007_A4,E3,case_007_timber_02_chipped_jagged,7,timber_02_chipped_jagged,timber,chipped_jagged,major,A4,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_007_timber_02_chipped_jagged/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_007_timber_02_chipped_jagged/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:34:22-04:00,True,True,True,True,True
E3_case_007_A5,E3,case_007_timber_02_chipped_jagged,7,timber_02_chipped_jagged,timber,chipped_jagged,major,A5,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_007_timber_02_chipped_jagged/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_007_timber_02_chipped_jagged/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:34:22-04:00,True,True,True,True,True
E3_case_008_A1,E3,case_008_timber_03_chipped_jagged,8,timber_03_chipped_jagged,timber,chipped_jagged,major,A1,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_008_timber_03_chipped_jagged/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_008_timber_03_chipped_jagged/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:34:50-04:00,True,True,True,True,True
E3_case_008_A2,E3,case_008_timber_03_chipped_jagged,8,timber_03_chipped_jagged,timber,chipped_jagged,major,A2,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_008_timber_03_chipped_jagged/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_008_timber_03_chipped_jagged/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:34:50-04:00,True,True,True,True,True
E3_case_008_A3,E3,case_008_timber_03_chipped_jagged,8,timber_03_chipped_jagged,timber,chipped_jagged,major,A3,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_008_timber_03_chipped_jagged/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_008_timber_03_chipped_jagged/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:34:50-04:00,True,True,True,True,True
E3_case_008_A4,E3,case_008_timber_03_chipped_jagged,8,timber_03_chipped_jagged,timber,chipped_jagged,major,A4,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_008_timber_03_chipped_jagged/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_008_timber_03_chipped_jagged/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:34:50-04:00,True,True,True,True,True
E3_case_008_A5,E3,case_008_timber_03_chipped_jagged,8,timber_03_chipped_jagged,timber,chipped_jagged,major,A5,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_008_timber_03_chipped_jagged/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_008_timber_03_chipped_jagged/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:34:50-04:00,True,True,True,True,True
E3_case_009_A1,E3,case_009_timber_04_debris_obstruction,9,timber_04_debris_obstruction,timber,debris_obstruction,major,A1,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_009_timber_04_debris_obstruction/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_009_timber_04_debris_obstruction/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:35:27-04:00,True,True,True,True,True
E3_case_009_A2,E3,case_009_timber_04_debris_obstruction,9,timber_04_debris_obstruction,timber,debris_obstruction,major,A2,True,Acceptable,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_009_timber_04_debris_obstruction/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_009_timber_04_debris_obstruction/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:35:27-04:00,True,True,True,True,True
E3_case_009_A3,E3,case_009_timber_04_debris_obstruction,9,timber_04_debris_obstruction,timber,debris_obstruction,major,A3,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_009_timber_04_debris_obstruction/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_009_timber_04_debris_obstruction/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:35:27-04:00,True,True,True,True,True
E3_case_009_A4,E3,case_009_timber_04_debris_obstruction,9,timber_04_debris_obstruction,timber,debris_obstruction,major,A4,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_009_timber_04_debris_obstruction/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_009_timber_04_debris_obstruction/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:35:27-04:00,True,True,True,True,True
E3_case_009_A5,E3,case_009_timber_04_debris_obstruction,9,timber_04_debris_obstruction,timber,debris_obstruction,major,A5,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_009_timber_04_debris_obstruction/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_009_timber_04_debris_obstruction/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:35:27-04:00,True,True,True,True,True
E3_case_010_A1,E3,case_010_timber_05_debris_obstruction,10,timber_05_debris_obstruction,timber,debris_obstruction,major,A1,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_010_timber_05_debris_obstruction/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_010_timber_05_debris_obstruction/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:36:22-04:00,True,True,True,True,True
E3_case_010_A2,E3,case_010_timber_05_debris_obstruction,10,timber_05_debris_obstruction,timber,debris_obstruction,major,A2,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_010_timber_05_debris_obstruction/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_010_timber_05_debris_obstruction/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:36:22-04:00,True,True,True,True,True
E3_case_010_A3,E3,case_010_timber_05_debris_obstruction,10,timber_05_debris_obstruction,timber,debris_obstruction,major,A3,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_010_timber_05_debris_obstruction/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_010_timber_05_debris_obstruction/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:36:22-04:00,True,True,True,True,True
E3_case_010_A4,E3,case_010_timber_05_debris_obstruction,10,timber_05_debris_obstruction,timber,debris_obstruction,major,A4,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_010_timber_05_debris_obstruction/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_010_timber_05_debris_obstruction/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:36:22-04:00,True,True,True,True,True
E3_case_010_A5,E3,case_010_timber_05_debris_obstruction,10,timber_05_debris_obstruction,timber,debris_obstruction,major,A5,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_010_timber_05_debris_obstruction/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_010_timber_05_debris_obstruction/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:36:22-04:00,True,True,True,True,True
E45_session_20260528_035248_A1,E45,session_20260528_035248,,session_20260528_035248,,e45_live_stress_test,major,A1,True,Good_or_candidate_user_visual,UNKNOWN,,user_visual_handoff,visual_manual,outputs/v2_pipeline_runs/session_20260528_035248/artifacts/04_anchor_selection/clean_single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e45/session_20260528_035248/anchors/A1/source_A1.png,L0_baseline,,,,True,True,True,True,True
E45_session_20260528_035248_A2,E45,session_20260528_035248,,session_20260528_035248,,e45_live_stress_test,major,A2,False,Bad_user_visual,UNKNOWN,,user_visual_handoff,visual_manual,outputs/v2_pipeline_runs/session_20260528_035248/artifacts/04_anchor_selection/clean_single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e45/session_20260528_035248/anchors/A2/source_A2.png,L0_baseline,,,,True,True,True,True,True
E45_session_20260528_035248_A3,E45,session_20260528_035248,,session_20260528_035248,,e45_live_stress_test,major,A3,False,Bad_user_visual,UNKNOWN,,user_visual_handoff,visual_manual,outputs/v2_pipeline_runs/session_20260528_035248/artifacts/04_anchor_selection/clean_single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e45/session_20260528_035248/anchors/A3/source_A3.png,L0_baseline,,,,True,True,True,True,True
